Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Funding Status,Investor Names
Seed Round - VendEase,https://www.crunchbase.com/funding_round/vendease-seed--fc98315c,VendEase,https://www.crunchbase.com/organization/vendease,Seed,125000,USD,125000,2021-03-23,,,,"VendEase is a marketplace that lets restaurants in Africa, order directly from farms and food manufacturers.","E-Commerce, Food and Beverage","Lagos, Lagos, Nigeria, Africa",https://www.vendease.com/,,Seed,Y Combinator
Seed Round - Rio Grande,https://www.crunchbase.com/funding_round/rio-grande-435f-seed--0cf9839e,Rio Grande,https://www.crunchbase.com/organization/rio-grande-435f,Seed,,,,2021-03-23,,,,We buy and grow D2C brands in LatAm,"Consumer Goods, E-Commerce","Mexico City, Distrito Federal, Mexico, North America",https://www.riogrande.co,,Seed,"Jaguar Ventures, Y Combinator"
Seed Round - Neverland,https://www.crunchbase.com/funding_round/neverland-seed--0b245c60,Neverland,https://www.crunchbase.com/organization/neverland,Seed,,,,2021-03-23,,,,Neverland is the first online home garden and lawn marketplace.,,"San Francisco, California, United States, North America",https://www.enterneverland.com/,,Seed,Y Combinator
Seed Round - MagicBell,https://www.crunchbase.com/funding_round/magicbell-seed--d6815d15,MagicBell,https://www.crunchbase.com/organization/magicbell,Seed,,,,2021-03-23,,,,MagicBell is a cloud-based notification inbox for product management.,,"Walnut, California, United States, North America",https://magicbell.io,,Seed,Y Combinator
Seed Round - Alltruists,https://www.crunchbase.com/funding_round/alltruists-seed--02ee87ac,Alltruists,https://www.crunchbase.com/organization/alltruists,Seed,,,,2021-03-23,,,,"Kid-friendly, at-home volunteer projects in a box, delivered bimonthly",,"Los Angeles, California, United States, North America",https://alltruists.com/,,Seed,Y Combinator
Seed Round - Afriex,https://www.crunchbase.com/funding_round/afriex-seed--512ccc4c,Afriex,https://www.crunchbase.com/organization/afriex,Seed,1200000,USD,1200000,2021-03-22,,,,Afriex is a pioneering platform that allows its users to send and receive money to anybody around the globe.,"Finance, Financial Exchanges, Financial Services, Information Technology","Oakland, California, United States, North America",https://www.afriexapp.com/,Less than $1M,Seed,"A$AP Capital, Andrea Vaccari, Brightstone Venture Capital, Furqan Rydhan, Future Africa, Ivernet Holding SAPI de CV, Launch Africa, Mandela Schumacher-Hodge Dixon, Precursor Ventures, Processus Capital, Russell Smith, SB Opportunity Fund, Uncommon Ventures, Y Combinator"
Pre Seed Round - NextPay,https://www.crunchbase.com/funding_round/nextpay-3f8a-pre-seed--55f0dd7b,NextPay,https://www.crunchbase.com/organization/nextpay-3f8a,Pre-Seed,125000,USD,125000,2021-03-22,,,,NextPay is a digital banking platform for small businesses and entrepreneurs.,"Financial Services, Payments","Makati, Manila, Philippines, Asia",https://nextpay.world/,,Seed,Y Combinator
Seed Round - Clicoh,https://www.crunchbase.com/funding_round/clicoh-seed--557b1f24,Clicoh,https://www.crunchbase.com/organization/clicoh,Seed,,,,2021-03-22,,,,Clicoh is a startup that provides fulfillment solutions through innovation and technology for digital companies in Latam.,"Delivery Service, Logistics, Mobile Apps, Transportation","Córdoba, Cordoba, Argentina, South America",http://www.clicohapp.com,,Seed,Y Combinator
Seed Round - Spline,https://www.crunchbase.com/funding_round/spline-a3e5-seed--92b16b95,Spline,https://www.crunchbase.com/organization/spline-a3e5,Seed,,,,2021-03-19,,,,"A 3d design tool for the web, without coding.",,"Middletown, Delaware, United States, North America",http://spline.design/,,Seed,"Chapter One Ventures, NXTP Ventures, Y Combinator"
Seed Round - AgendaPro,https://www.crunchbase.com/funding_round/agendapro-seed--cebab4cf,AgendaPro,https://www.crunchbase.com/organization/agendapro,Seed,,,,2021-03-19,,,,Shopify for Beauty and Wellness business in Latam. We allow business owners to charge their customers online and easily schedule appointments.,"Beauty, Internet, SaaS, Wellness","Santiago, Region Metropolitana, Chile, South America",http://www.agendapro.com,,Seed,Y Combinator
Seed Round - Bimaplan,https://www.crunchbase.com/funding_round/bimaplan-seed--e71b5376,Bimaplan,https://www.crunchbase.com/organization/bimaplan,Seed,500000,USD,500000,2021-03-16,,,,Affordable Insurance for the next billion Indians,"Financial Services, Insurance","Bangalore, Karnataka, India, Asia",https://bimaplan.co/,,Seed,"2 AM Ventures, Abhishek Rungta, Anupam Mittal, FinSight Ventures, Jitendra Gupta, Kunal Shah, Nimesh Kampani, Nisarg Shah, Pallav Nadhani, Rajesh Sawhney, Ramakant Sharma, RaSa Future Fund, Ritesh Malik, Roshan Abbas, Shanti Mohan, Titan Capital, Y Combinator, Yash Jain"
Seed Round - Fintoc,https://www.crunchbase.com/funding_round/fintoc-seed--4e024aa9,Fintoc,https://www.crunchbase.com/organization/fintoc,Seed,,,,2021-03-16,,,,Fintoc let developers in Latin America connect to bank accounts,,"Santiago, Region Metropolitana, Chile, South America",https://fintoc.com,,Seed,Y Combinator
Series B - Flowspace,https://www.crunchbase.com/funding_round/flowspace-series-b--46569a98,Flowspace,https://www.crunchbase.com/organization/flowspace,Series B,31000000,USD,31000000,2021-03-15,,,,Flowspace offers an on-demand warehousing and fulfillment network.,"Logistics, Supply Chain Management, Warehousing","Los Angeles, California, United States, North America",https://www.flow.space/,Less than $1M,Early Stage Venture,"1984 Ventures, BuildGroup, Canvas Ventures, eGateway Capital, Industrious Ventures, Moment Ventures, Y Combinator"
Series A - Fondeadora,https://www.crunchbase.com/funding_round/fondeadora-series-a--ef6b21ba,Fondeadora,https://www.crunchbase.com/organization/fondeadora,Series A,14000000,USD,14000000,2021-03-15,,,,Fondeadora is a digital banking services company that aims to eliminate the inefficiencies related to the traditional banking system.,"Banking, Crowdfunding, Crowdsourcing, Debit Cards, Financial Services, FinTech, Internet","Mexico City, Distrito Federal, Mexico, North America",https://fondeadora.com,$1M to $10M,Early Stage Venture,"FinTech Collective, Gokul Rajaram, Gradient Ventures, IGNIA, Portag3 Ventures, Scott Belsky, Sound Ventures, Y Combinator"
Pre Seed Round - Blink Last Mile,https://www.crunchbase.com/funding_round/blink-8353-pre-seed--3ce4b2c7,Blink Last Mile,https://www.crunchbase.com/organization/blink-8353,Pre-Seed,,,,2021-03-15,,,,Blink Last Mile is a Sustainable same-day delivery for e-commerce companies in Europe,"Delivery, E-Commerce, Logistics, Same Day Delivery, Warehousing","Milano, Lombardia, Italy, Europe",https://www.blinklastmile.com/en/,,Seed,Y Combinator
Seed Round - NowPay,https://www.crunchbase.com/funding_round/nowpay-seed--7e362f5c,NowPay,https://www.crunchbase.com/organization/nowpay,Seed,,,,2021-03-14,,,,NowPay improves the financial-wellness of corporate employees.,Software,"San Francisco, California, United States, North America",https://nowpay.com/,,Seed,"Abderahman ElSewedy, BECO Capital, Endure Capital, Foundation Ventures, Global Ventures, Y Combinator"
Seed Round - inVOID,https://www.crunchbase.com/funding_round/invoid-seed--410715ed,inVOID,https://www.crunchbase.com/organization/invoid,Seed,125000,USD,125000,2021-03-11,,,,Plug n Play Full stack user verification suite,"Artificial Intelligence, Information Technology, Security, Software","New Delhi, Delhi, India, Asia",https://www.invoid.co/,,Seed,Y Combinator
Pre Seed Round - Dayra,https://www.crunchbase.com/funding_round/dayra-f710-pre-seed--49e2977e,Dayra,https://www.crunchbase.com/organization/dayra-f710,Pre-Seed,3000000,USD,3000000,2021-03-10,,,,Dayra empowers companies to offer financial services to their unbanked gig-workers and customers.,"Banking, Finance, Financial Services, FinTech, Payments","Cairo, Al Qahirah, Egypt, Africa",https://www.dayra.co/,,Seed,"EFG EV Fintech, Tanmiya Capital Ventures, Y Combinator"
Seed Round - Zingbus,https://www.crunchbase.com/funding_round/zingbus-seed--90d4218e,Zingbus,https://www.crunchbase.com/organization/zingbus,Seed,125000,USD,125000,2021-03-10,,,,Zingbus is an emerging brand in the intercity bus services.,Transportation,"Haryana, Haryana, India, Asia",https://www.zingbus.com/,,Seed,Y Combinator
Seed Round - 01 Paynents And Business - Z1,https://www.crunchbase.com/funding_round/z1-8982-seed--55293fc1,01 Paynents And Business - Z1,https://www.crunchbase.com/organization/z1-8982,Seed,,,,2021-03-09,,,,Teen Banking is a digital banking app made for teenagers and young adults where teenagers can learn financial independence.,"Banking, Financial Services, Mobile Apps","São Paulo, Sao Paulo, Brazil, South America",https://z1.app,,Seed,Y Combinator
Series A - Vendr,https://www.crunchbase.com/funding_round/vendr-series-a--f44f9976,Vendr,https://www.crunchbase.com/organization/vendr,Series A,60000000,USD,60000000,2021-03-08,,,,Vendr empowers companies to purchase SaaS without friction.,"Information Technology, SaaS, Software","Boston, Massachusetts, United States, North America",https://www.vendr.com,$1M to $10M,Early Stage Venture,"Craft Ventures, F-Prime Capital, Garage Capital, Sound Ventures, Tiger Global Management, Y Combinator"
Seed Round - Kidato,https://www.crunchbase.com/funding_round/kidato-seed--38c8065f,Kidato,https://www.crunchbase.com/organization/kidato,Seed,125000,USD,125000,2021-03-05,,,,"Kidato is an online school for K-12 kids with a vision to provide a high-quality, affordable education to the growing middle class in Africa","E-Learning, Education","Nairobi, Nairobi Area, Kenya, Africa",https://www.kidato.co/,,Seed,Y Combinator
Pre Seed Round - Rejoy Health,https://www.crunchbase.com/funding_round/rejoyhealth-pre-seed--14fbd547,Rejoy Health,https://www.crunchbase.com/organization/rejoyhealth,Pre-Seed,125000,USD,125000,2021-03-05,,,,AI Platform to treat and manage Chronic Conditions,Health Care,"New York, New York, United States, North America",https://www.rejoyhealth.com/,,Seed,Y Combinator
Series A - Whatnot,https://www.crunchbase.com/funding_round/whatnot-series-a--9387b640,Whatnot,https://www.crunchbase.com/organization/whatnot,Series A,20000000,USD,20000000,2021-03-04,,,,"Whatnot is a live stream platform and marketplace that enables collectors and enthusiasts to connect, buy, and sell verified products.","Collectibles, E-Commerce, Marketplace, Trading Platform","Marina Del Rey, California, United States, North America",https://www.whatnot.com,Less than $1M,Early Stage Venture,"Andreessen Horowitz, Chris Zarou, Operator Partners, Scribble Ventures, Steve Aoki, Wonder Ventures, Y Combinator"
Venture Round - Doppler,https://www.crunchbase.com/funding_round/doppler-series-unknown--fd69f07a,Doppler,https://www.crunchbase.com/organization/doppler,Venture - Series Unknown,6500000,USD,6500000,2021-03-04,,,,Doppler provides an application management platform used to help developers manage their API keys across their projects.,"Apps, Information Technology, Productivity Tools, Software","San Francisco, California, United States, North America",https://doppler.com,,,"Addition, BoxGroup, Chapter One Ventures, GV, James Lindenbaum, Lachy Groom, Peak State Ventures, Rahul Vohra, Ryan Shea, Sequoia Capital, Todd Goldberg, Y Combinator"
Seed Round - Easol,https://www.crunchbase.com/funding_round/fixers-seed--d0af7cda,Easol,https://www.crunchbase.com/organization/fixers,Seed,4500000,USD,4500000,2021-03-04,,,,"The all-in-one platform to manage your entire experience business, on your terms.","Leisure, Software, Travel","London, England, United Kingdom, Europe",https://www.easol.com,$10M to $50M,Seed,"Foundation Capital, Michael Zeisser, Notion Capital, Slow Ventures, Y Combinator"
Series B - Xendit,https://www.crunchbase.com/funding_round/xendit-series-b--1f68694f,Xendit,https://www.crunchbase.com/organization/xendit,Series B,64600000,USD,64600000,2021-03-02,,,,Xendit is a fintech company that provides end-to-end digital payment solutions for SMBs and e-commerce startups to large enterprises.,"Banking, Finance, Financial Services, FinTech, Payments","Jakarta, Jakarta Raya, Indonesia, Asia",http://www.xendit.co,Less than $1M,Early Stage Venture,"Accel, Y Combinator"
Seed Round - Airbyte,https://www.crunchbase.com/funding_round/airbyte-b3bb-seed--99244826,Airbyte,https://www.crunchbase.com/organization/airbyte-b3bb,Seed,5200000,USD,5200000,2021-03-02,,,,"Airbyte is an open-source data integration platform that syncs data from applications, APIs, and databases to data warehouses.","Data Integration, Supply Chain Management, Warehousing","San Francisco, California, United States, North America",https://airbyte.io/,,Seed,"8VC, Accel, Alain Rossmann, Auren Hoffman, Calvin French-Owen, Charles Zedlewski, Guillaume ""G"" Cabane, Travis May, Y Combinator"
Seed Round - Humaans,https://www.crunchbase.com/funding_round/humaans-seed--31cce56b,Humaans,https://www.crunchbase.com/organization/humaans,Seed,5000000,USD,5000000,2021-03-01,,,,The fastest way to onboard and manage your staff,"B2B, Human Resources, Internet, Software","London, England, United Kingdom, Europe",https://humaans.io,,Seed,"Akshay Kothari, Claire Hughes Johnson, David Clarke, Des Traynor, Dylan Field, Emre Baran, Frontline Ventures, Gerardo Di Giacomo, Jeff Weiner, Lachy Groom, Moonfire Ventures, Next Play Ventures, Scott Belsky, Shane Curran, Y Combinator"
Seed Round - Chums,https://www.crunchbase.com/funding_round/chums-seed--5b1db923,Chums,https://www.crunchbase.com/organization/chums,Seed,3500000,USD,3500000,2021-03-01,,,,Shop online together.,"Advertising Platforms, E-Commerce, Internet, Sharing Economy, Social, Social Shopping, Software","New York, New York, United States, North America",http://www.chums.co,,Seed,"Bessemer Venture Partners, BoxGroup, Contrary, Fuel Capital, Griffin Johnson, Haroon Mokhtarzada, Jared Hecht, Josh Richards, Ludlow Ventures, Scott Belsky, Shrug Capital, Sound Ventures, Y Combinator"
Seed Round - QuestBook,https://www.crunchbase.com/funding_round/questbook-seed--4a664442,QuestBook,https://www.crunchbase.com/organization/questbook,Seed,1125000,USD,1125000,2021-03-01,15000000,USD,15000000,App for professionals to teach professionals using bite sized courses. Building the future of learning.,"Communities, Internet","Hyderabad, Andhra Pradesh, India, Asia",https://questbook.app,,Seed,Y Combinator
Pre Seed Round - Turing College,https://www.crunchbase.com/funding_round/turing-college-pre-seed--2de73fdb,Turing College,https://www.crunchbase.com/organization/turing-college,Pre-Seed,125000,USD,125000,2021-02-28,,,,Turing College is an online data science career school with ISAs.,"EdTech, Education, Higher Education","Wilmington, Delaware, United States, North America",https://www.turingcollege.com/en,,Seed,Y Combinator
Series A - Supplant,https://www.crunchbase.com/funding_round/cambridge-glycoscience-series-a--727b0bbe,Supplant,https://www.crunchbase.com/organization/cambridge-glycoscience,Series A,15000000,USD,15000000,2021-02-26,,,,Supplant is a biotechnology platform that makes sugar substitutes.,"Biotechnology, Food and Beverage, Health Care","Cambridge, Cambridgeshire, United Kingdom, Europe",https://www.supplant.com/,$1M to $10M,Early Stage Venture,"Coatue, EQT, Felicis Ventures, Khosla Ventures, Manta Ray Ventures, Y Combinator"
Seed Round - STOKE Space Technologies,https://www.crunchbase.com/funding_round/stoke-space-technologies-seed--47b6aede,STOKE Space Technologies,https://www.crunchbase.com/organization/stoke-space-technologies,Seed,9100000,USD,9100000,2021-02-25,,,,STOKE Space Technologies seamlessly connecting earth and space.,Space Travel,"Seattle, Washington, United States, North America",https://www.stoke-space.com/,,Seed,"Adam Morley, Alexis Ohanian, Charlie Songhurst, Fourth Realm, JAM Fund, Justin Mateen, Kyle Vogt, Liquid 2 Ventures, MaC Venture Capital, NFX, Seven Seven Six, Trevor Blackwell, Y Combinator"
Seed Round - Future Fields,https://www.crunchbase.com/funding_round/future-fields-seed--67e3c5d0,Future Fields,https://www.crunchbase.com/organization/future-fields,Seed,2200000,USD,2200000,2021-02-25,,,,Future Fields develops cellular growth media that enables customers to create lab-grown meat at a lower cost.,"Agriculture, AgTech, Biotechnology","Edmonton, Alberta, Canada, North America",https://www.futurefields.io/,,Seed,"Bee Partners, Narrative Fund, Pioneer Fund, Y Combinator"
Seed Round - Termii,https://www.crunchbase.com/funding_round/termii-networks-seed--a279d5d8,Termii,https://www.crunchbase.com/organization/termii-networks,Seed,1400000,USD,1400000,2021-02-24,,,,"Termii helps African businesses communicate with customers across SMS, email, voice, and instant messaging channels.","Digital Marketing, Digital Media, Email Marketing, Marketing Automation, Messaging, SMS","New Lagos, Lagos, Nigeria, Africa",https://termii.com,$1M to $10M,Seed,"Acuity Ventures, Aidi Ventures, Assembly Capital Partners, Future Africa, Ham Serunjogi, Josh Jones, Kairos Angels, Kepple Africa Ventures, Nama Ventures, Rally Cap Ventures, Remapped Ventures, Tayo Oviosu, Wes Schwalje, Y Combinator"
Seed Round - Aquarium,https://www.crunchbase.com/funding_round/aquarium-seed--51d19004,Aquarium,https://www.crunchbase.com/organization/aquarium,Seed,2600000,USD,2600000,2021-02-24,,,,Aquarium is expertise in making machine learning accessible to its customers that helps to simplify their models by improving datasets.,"Artificial Intelligence, Information Technology, Machine Learning, Software","San Francisco, California, United States, North America",https://www.aquariumlearning.com/,,Seed,"Base Case Capital, Daniel Kan, Kyle Vogt, Sequoia Capital, Y Combinator"
Pre Seed Round - Neuro,https://www.crunchbase.com/funding_round/neuro-ai-pre-seed--d84356cd,Neuro,https://www.crunchbase.com/organization/neuro-ai,Pre-Seed,125000,USD,125000,2021-02-22,,,,The first API for serverless ML compute,Data Center,"Bath, Bath and North East Somerset, United Kingdom, Europe",https://www.getneuro.ai,$1M to $10M,Seed,Y Combinator
Pre Seed Round - Jeevam Health,https://www.crunchbase.com/funding_round/jeevam-health-pre-seed--92aeff8b,Jeevam Health,https://www.crunchbase.com/organization/jeevam-health,Pre-Seed,150000,USD,150000,2021-02-20,,,,Jeevam Health is an Online Medical Clinic to Cure Root Cause of Chronic Issues in India.,Health Care,"Delhi, Delhi, India, Asia",https://www.jeevamhealth.com/,,Seed,Y Combinator
Pre Seed Round - Cord,https://www.crunchbase.com/funding_round/cord-0d3f-pre-seed--f80bec7c,Cord,https://www.crunchbase.com/organization/cord-0d3f,Pre-Seed,125000,USD,125000,2021-02-19,,,,Where the world creates AI training data,"Artificial Intelligence, Computer Vision, Machine Learning, Software","London, England, United Kingdom, Europe",https://cord.tech,,Seed,Y Combinator
Series A - Promise,https://www.crunchbase.com/funding_round/promise-series-a--eedf0da6,Promise,https://www.crunchbase.com/organization/promise,Series A,20000000,USD,20000000,2021-02-18,,,,PromisePay provides a modern payment processing platform built for utilities and government agencies.,"Debt Collections, Financial Services, FinTech, Government, Mobile Payments","Oakland, California, United States, North America",http://joinpromise.com/,$1M to $10M,Early Stage Venture,"Bronze Investments, First Round Capital, Kapor Capital, XYZ Venture Capital, Y Combinator"
Series A - Titan,https://www.crunchbase.com/funding_round/titan-series-a--c53408a8,Titan,https://www.crunchbase.com/organization/titan,Series A,12500000,USD,12500000,2021-02-16,,,,"Titan is the operating system for active investment management, powering high-quality investment products and experiences for retail investors.","Angel Investment, Banking, Financial Exchanges, Financial Services, FinTech","New York, New York, United States, North America",https://www.titanvest.com,Less than $1M,Early Stage Venture,"Ashton Kutcher, BoxGroup, General Catalyst, Josh Reeves, Kevin Hartz, Lee Fixel, Mike Krieger, Scribble Ventures, Sound Ventures, South Park Commons, Y Combinator"
Seed Round - PowerUs,https://www.crunchbase.com/funding_round/electry-seed--84a547ef,PowerUs,https://www.crunchbase.com/organization/electry,Seed,1700000,EUR,2055002,2021-02-16,,,,PowerUs is a digital career platform for technical blue-collar workers to empower them in their careers and help them find better jobs.,"Human Resources, Mechanical Engineering, Recruiting","Berlin, Berlin, Germany, Europe",https://www.powerus.de,Less than $1M,Seed,"Christian Vollmann, Hanno Renner, HV Capital, Maximilian Bittner, Maximilian Viessmann, Neal O'Mara, SEK Ventures, Y Combinator"
Pre Seed Round - Treinta,https://www.crunchbase.com/funding_round/treinta-pre-seed--d7ee2a54,Treinta,https://www.crunchbase.com/organization/treinta,Pre-Seed,,,,2021-02-11,,,,Digital ledger app for Latin American microbusinesses,FinTech,"Bogotá, Distrito Especial, Colombia, South America",https://www.treinta.co/,,Seed,"First Check Ventures, Y Combinator"
Seed Round - Codingal,https://www.crunchbase.com/funding_round/codingal-seed--90e5f702,Codingal,https://www.crunchbase.com/organization/codingal,Seed,,,,2021-02-10,,,,Coding education platform for K-12 students,EdTech,"Bangalore, Karnataka, India, Asia",https://www.codingal.com,,Seed,Y Combinator
Seed Round - Accord,https://www.crunchbase.com/funding_round/accord-acff-seed--d8257645,Accord,https://www.crunchbase.com/organization/accord-acff,Seed,6000000,USD,6000000,2021-02-10,,,,"Accord is a customer collaborative platform, built for B2B Sales, Onboarding, and Success.","SaaS, Sales, Software","San Francisco, California, United States, North America",https://inaccord.com/,,Seed,"Stripe, Y Combinator"
Seed Round - Avion School,https://www.crunchbase.com/funding_round/avion-school-seed--6bd163fa,Avion School,https://www.crunchbase.com/organization/avion-school,Seed,125000,USD,125000,2021-02-09,,,,Avion School is a provider of software coaching services.,Education,"Taguig, Rizal, Philippines, Asia",https://www.avionschool.com/,,Seed,Y Combinator
Seed Round - Djamo,https://www.crunchbase.com/funding_round/djamo-seed--9def040b,Djamo,https://www.crunchbase.com/organization/djamo,Seed,125000,USD,125000,2021-02-09,,,,Djamo is the Mobile Banking for French Speaking western Africa.,,"Ebène, Plaines Wilhems, Mauritius, Africa",https://www.djamo.io/,,Seed,Y Combinator
Series G - Monzo,https://www.crunchbase.com/funding_round/monzo-series-g--32a24fae,Monzo,https://www.crunchbase.com/organization/monzo,Series G,50000000,GBP,68728239,2021-02-08,,,,Monzo is a digital-only bank platform and marketplace that allows customers to access a range of products and services.,"Banking, Finance, Financial Services, FinTech, Marketplace","London, England, United Kingdom, Europe",https://monzo.com/,$10M to $50M,Late Stage Venture,"Accel, General Catalyst, Goodwater Capital, Octahedron Capital, Orange, Passion Capital, Stripe, Thrive Capital, Y Combinator"
Seed Round - Infracost,https://www.crunchbase.com/funding_round/infracost-seed--04a24c72,Infracost,https://www.crunchbase.com/organization/infracost,Seed,125000,USD,125000,2021-02-08,,,,"Infracost creates cloud cost estimates for Infrastructure as Code in pull requests, so developers know how much their cloud resources will cost before launching them, creating a cost-aware engineering organization.",Cloud Computing,,https://www.infracost.io,,Seed,Y Combinator
