,Parent Company,Child Company,Child Description,split
29,Y Combinator,NowPay,"Our funding stage is Seed. NowPay improves the financial-wellness of corporate employees. Located in San Francisco, California, United States, North America. Involved in the following industries: Software Our current investors include Abderahman ElSewedy, BECO Capital, Endure Capital, Foundation Ventures, Global Ventures, Y Combinator. Funding amount (USD) so far is unknown.",-0.046520531593334025
30,Y Combinator,inVOID,"Our funding stage is Seed. Plug n Play Full stack user verification suite Located in New Delhi, Delhi, India, Asia. Involved in the following industries: Artificial Intelligence, Information Technology, Security, Software Our current investors include Y Combinator. Funding amount (USD) so far is 125000.0.",-0.4235270525881821
31,Y Combinator,Dayra,"Our funding stage is Pre-Seed. Dayra empowers companies to offer financial services to their unbanked gig-workers and customers. Located in Cairo, Al Qahirah, Egypt, Africa. Involved in the following industries: Banking, Finance, Financial Services, FinTech, Payments Our current investors include EFG EV Fintech, Tanmiya Capital Ventures, Y Combinator. Funding amount (USD) so far is 3000000.0.",1.5427752484764812
32,Y Combinator,Zingbus,"Our funding stage is Seed. Zingbus is an emerging brand in the intercity bus services. Located in Haryana, Haryana, India, Asia. Involved in the following industries: Transportation Our current investors include Y Combinator. Funding amount (USD) so far is 125000.0.",-0.11967053454977737
33,Y Combinator,01 Paynents And Business - Z1,"Our funding stage is Seed. Teen Banking is a digital banking app made for teenagers and young adults where teenagers can learn financial independence. Located in São Paulo, Sao Paulo, Brazil, South America. Involved in the following industries: Banking, Financial Services, Mobile Apps Our current investors include Y Combinator. Funding amount (USD) so far is unknown.",-0.3090715451662363
34,Y Combinator,Vendr,"Our funding stage is Series A. Vendr empowers companies to purchase SaaS without friction. Located in Boston, Massachusetts, United States, North America. Involved in the following industries: Information Technology, SaaS, Software Our current investors include Craft Ventures, F-Prime Capital, Garage Capital, Sound Ventures, Tiger Global Management, Y Combinator. Funding amount (USD) so far is 60000000.0.",1.447407219118312
35,Y Combinator,Kidato,"Our funding stage is Seed. Kidato is an online school for K-12 kids with a vision to provide a high-quality, affordable education to the growing middle class in Africa Located in Nairobi, Nairobi Area, Kenya, Africa. Involved in the following industries: E-Learning, Education Our current investors include Y Combinator. Funding amount (USD) so far is 125000.0.",1.2030181866889957
37,Y Combinator,Whatnot,"Our funding stage is Series A. Whatnot is a live stream platform and marketplace that enables collectors and enthusiasts to connect, buy, and sell verified products. Located in Marina Del Rey, California, United States, North America. Involved in the following industries: Collectibles, E-Commerce, Marketplace, Trading Platform Our current investors include Andreessen Horowitz, Chris Zarou, Operator Partners, Scribble Ventures, Steve Aoki, Wonder Ventures, Y Combinator. Funding amount (USD) so far is 20000000.0.",-1.0524271878791331
38,Y Combinator,Doppler,"Our funding stage is Venture - Series Unknown. Doppler provides an application management platform used to help developers manage their API keys across their projects. Located in San Francisco, California, United States, North America. Involved in the following industries: Apps, Information Technology, Productivity Tools, Software Our current investors include Addition, BoxGroup, Chapter One Ventures, GV, James Lindenbaum, Lachy Groom, Peak State Ventures, Rahul Vohra, Ryan Shea, Sequoia Capital, Todd Goldberg, Y Combinator. Funding amount (USD) so far is 6500000.0.",3.454135281820076
39,Y Combinator,Easol,"Our funding stage is Seed. The all-in-one platform to manage your entire experience business, on your terms. Located in London, England, United Kingdom, Europe. Involved in the following industries: Leisure, Software, Travel Our current investors include Foundation Capital, Michael Zeisser, Notion Capital, Slow Ventures, Y Combinator. Funding amount (USD) so far is 4500000.0.",-0.9678869510194703
41,Y Combinator,Airbyte,"Our funding stage is Seed. Airbyte is an open-source data integration platform that syncs data from applications, APIs, and databases to data warehouses. Located in San Francisco, California, United States, North America. Involved in the following industries: Data Integration, Supply Chain Management, Warehousing Our current investors include 8VC, Accel, Alain Rossmann, Auren Hoffman, Calvin French-Owen, Charles Zedlewski, Guillaume ""G"" Cabane, Travis May, Y Combinator. Funding amount (USD) so far is 5200000.0.",0.4015290522392398
42,Y Combinator,Humaans,"Our funding stage is Seed. The fastest way to onboard and manage your staff Located in London, England, United Kingdom, Europe. Involved in the following industries: B2B, Human Resources, Internet, Software Our current investors include Akshay Kothari, Claire Hughes Johnson, David Clarke, Des Traynor, Dylan Field, Emre Baran, Frontline Ventures, Gerardo Di Giacomo, Jeff Weiner, Lachy Groom, Moonfire Ventures, Next Play Ventures, Scott Belsky, Shane Curran, Y Combinator. Funding amount (USD) so far is 5000000.0.",-0.8011738943595618
44,Y Combinator,QuestBook,"Our funding stage is Seed. App for professionals to teach professionals using bite sized courses. Building the future of learning. Located in Hyderabad, Andhra Pradesh, India, Asia. Involved in the following industries: Communities, Internet Our current investors include Y Combinator. Funding amount (USD) so far is 1125000.0.",-1.4619739109201815
45,Y Combinator,Turing College,"Our funding stage is Pre-Seed. Turing College is an online data science career school with ISAs. Located in Wilmington, Delaware, United States, North America. Involved in the following industries: EdTech, Education, Higher Education Our current investors include Y Combinator. Funding amount (USD) so far is 125000.0.",-1.0647916245246314
47,Y Combinator,STOKE Space Technologies,"Our funding stage is Seed. STOKE Space Technologies seamlessly connecting earth and space. Located in Seattle, Washington, United States, North America. Involved in the following industries: Space Travel Our current investors include Adam Morley, Alexis Ohanian, Charlie Songhurst, Fourth Realm, JAM Fund, Justin Mateen, Kyle Vogt, Liquid 2 Ventures, MaC Venture Capital, NFX, Seven Seven Six, Trevor Blackwell, Y Combinator. Funding amount (USD) so far is 9100000.0.",-0.39324975178923754
48,Y Combinator,Future Fields,"Our funding stage is Seed. Future Fields develops cellular growth media that enables customers to create lab-grown meat at a lower cost. Located in Edmonton, Alberta, Canada, North America. Involved in the following industries: Agriculture, AgTech, Biotechnology Our current investors include Bee Partners, Narrative Fund, Pioneer Fund, Y Combinator. Funding amount (USD) so far is 2200000.0.",0.8104045842988571
49,Y Combinator,Termii,"Our funding stage is Seed. Termii helps African businesses communicate with customers across SMS, email, voice, and instant messaging channels. Located in New Lagos, Lagos, Nigeria, Africa. Involved in the following industries: Digital Marketing, Digital Media, Email Marketing, Marketing Automation, Messaging, SMS Our current investors include Acuity Ventures, Aidi Ventures, Assembly Capital Partners, Future Africa, Ham Serunjogi, Josh Jones, Kairos Angels, Kepple Africa Ventures, Nama Ventures, Rally Cap Ventures, Remapped Ventures, Tayo Oviosu, Wes Schwalje, Y Combinator. Funding amount (USD) so far is 1400000.0.",-0.08893487033807067
50,Y Combinator,Aquarium,"Our funding stage is Seed. Aquarium is expertise in making machine learning accessible to its customers that helps to simplify their models by improving datasets. Located in San Francisco, California, United States, North America. Involved in the following industries: Artificial Intelligence, Information Technology, Machine Learning, Software Our current investors include Base Case Capital, Daniel Kan, Kyle Vogt, Sequoia Capital, Y Combinator. Funding amount (USD) so far is 2600000.0.",-0.6828017750336673
52,Y Combinator,Jeevam Health,"Our funding stage is Pre-Seed. Jeevam Health is an Online Medical Clinic to Cure Root Cause of Chronic Issues in India. Located in Delhi, Delhi, India, Asia. Involved in the following industries: Health Care Our current investors include Y Combinator. Funding amount (USD) so far is 150000.0.",-1.1078496956293364
53,Y Combinator,Cord,"Our funding stage is Pre-Seed. Where the world creates AI training data Located in London, England, United Kingdom, Europe. Involved in the following industries: Artificial Intelligence, Computer Vision, Machine Learning, Software Our current investors include Y Combinator. Funding amount (USD) so far is 125000.0.",-0.8444852349416007
54,Y Combinator,Promise,"Our funding stage is Series A. PromisePay provides a modern payment processing platform built for utilities and government agencies. Located in Oakland, California, United States, North America. Involved in the following industries: Debt Collections, Financial Services, FinTech, Government, Mobile Payments Our current investors include Bronze Investments, First Round Capital, Kapor Capital, XYZ Venture Capital, Y Combinator. Funding amount (USD) so far is 20000000.0.",-0.19325193987931286
56,Y Combinator,PowerUs,"Our funding stage is Seed. PowerUs is a digital career platform for technical blue-collar workers to empower them in their careers and help them find better jobs. Located in Berlin, Berlin, Germany, Europe. Involved in the following industries: Human Resources, Mechanical Engineering, Recruiting Our current investors include Christian Vollmann, Hanno Renner, HV Capital, Maximilian Bittner, Maximilian Viessmann, Neal O'Mara, SEK Ventures, Y Combinator. Funding amount (USD) so far is 2055002.0.",-2.2989670017691477
57,Y Combinator,Treinta,"Our funding stage is Pre-Seed. Digital ledger app for Latin American microbusinesses Located in Bogotá, Distrito Especial, Colombia, South America. Involved in the following industries: FinTech Our current investors include First Check Ventures, Y Combinator. Funding amount (USD) so far is unknown.",0.7877418579704453
58,Y Combinator,Codingal,"Our funding stage is Seed. Coding education platform for K-12 students Located in Bangalore, Karnataka, India, Asia. Involved in the following industries: EdTech Our current investors include Y Combinator. Funding amount (USD) so far is unknown.",0.33568868691832665
59,Y Combinator,Accord,"Our funding stage is Seed. Accord is a customer collaborative platform, built for B2B Sales, Onboarding, and Success. Located in San Francisco, California, United States, North America. Involved in the following industries: SaaS, Sales, Software Our current investors include Stripe, Y Combinator. Funding amount (USD) so far is 6000000.0.",-0.5445964881166729
61,Y Combinator,Djamo,"Our funding stage is Seed. Djamo is the Mobile Banking for French Speaking western Africa. Located in Ebène, Plaines Wilhems, Mauritius, Africa. Involved in the following industries: unknown Our current investors include Y Combinator. Funding amount (USD) so far is 125000.0.",1.5991937669511609
62,Y Combinator,Monzo,"Our funding stage is Series G. Monzo is a digital-only bank platform and marketplace that allows customers to access a range of products and services. Located in London, England, United Kingdom, Europe. Involved in the following industries: Banking, Finance, Financial Services, FinTech, Marketplace Our current investors include Accel, General Catalyst, Goodwater Capital, Octahedron Capital, Orange, Passion Capital, Stripe, Thrive Capital, Y Combinator. Funding amount (USD) so far is 68728239.0.",1.31360131491377
63,Y Combinator,Infracost,"Our funding stage is Seed. Infracost creates cloud cost estimates for Infrastructure as Code in pull requests, so developers know how much their cloud resources will cost before launching them, creating a cost-aware engineering organization. Located in unknown. Involved in the following industries: Cloud Computing Our current investors include Y Combinator. Funding amount (USD) so far is 125000.0.",-0.9148112314417316
66,Y Combinator,Balance,"Our funding stage is Seed. A digital payments platform designed to make the B2B online purchasing experience delightful & friction-free, for buyers and vendors alike. Located in Tel Aviv, Tel Aviv, Israel, Asia. Involved in the following industries: B2B, E-Commerce, FinTech, Payments Our current investors include Lightspeed Venture Partners, SciFi VC, Stripe, UpWest, Y Combinator. Funding amount (USD) so far is 5500000.0.",-0.13501682204516052
67,Y Combinator,Mono,"Our funding stage is Seed. Mono enables users to securely and reliably access financial accounts across Africa. Located in Nguru, Lagos, Nigeria, Africa. Involved in the following industries: Finance, Security, Software Our current investors include Y Combinator. Funding amount (USD) so far is 125000.0.",-0.34386474783682
70,Y Combinator,Landed,"Our funding stage is Seed. Landed improves the hiring process for hourly employers and job applicants. Located in San Francisco, California, United States, North America. Involved in the following industries: Recruiting, Software Our current investors include Javelin Venture Partners, Palm Drive Capital, Y Combinator. Funding amount (USD) so far is 1400000.0.",-0.7478659064313965
72,Y Combinator,Camelan,"Our funding stage is Seed. Camelan buy and sell everything related to pets using video! Located in Dubai, Dubai, United Arab Emirates, Asia. Involved in the following industries: Classifieds, Pet Our current investors include Y Combinator. Funding amount (USD) so far is unknown.",1.7247762286009292
73,Y Combinator,gonddo,"Our funding stage is Seed. gonddo is a wholesale marketplace that helps small retailers purchase inventories Located in São Paulo, Sao Paulo, Brazil, South America. Involved in the following industries: Retail, Small and Medium Businesses, Wholesale Our current investors include Brian Requarth, Iporanga Ventures, VERVE CAPITAL, Y Combinator. Funding amount (USD) so far is 125000.0.",-0.1713084725222326
74,Y Combinator,Yotta Savings,"Our funding stage is Series A. Yotta Savings offers free FDIC-insured bank savings accounts and rewards savings account depositors with weekly prize drawings. Located in New York, New York, United States, North America. Involved in the following industries: Finance, Financial Services, FinTech Our current investors include Base10 Partners, Core Innovation Capital, Slow Ventures, Y Combinator. Funding amount (USD) so far is 13200000.0.",1.1326276561350386
76,Y Combinator,Firstbase.io,"Our funding stage is Pre-Seed. FirstBase is a company dedicated to breaking international barriers and driving opportunity for founders and business owners. Located in New York, New York, United States, North America. Involved in the following industries: Business Development, Legal, Legal Tech Our current investors include Y Combinator. Funding amount (USD) so far is 125000.0.",0.24230151166418326
77,Y Combinator,Curtsy,"Our funding stage is Series A. Curtsy is an app that lets women buy and sell clothing, shoes, and accessories on their phone. Located in San Francisco, California, United States, North America. Involved in the following industries: E-Commerce, Fashion, Mobile Apps, Shopping, Women's Our current investors include 1984 Ventures, FJ Labs, Index Ventures, Josh Breinlinger, Y Combinator. Funding amount (USD) so far is 11000000.0.",-0.11488891014366992
78,Y Combinator,Volopay,"Our funding stage is Seed. Volopay simplifies business spending using corporate cards and automated payables. Located in Midview City, Central Region, Singapore, Asia. Involved in the following industries: FinTech, SaaS, Software Our current investors include Antler, CP Ventures, Harshil Mathur, JAM Fund, Justin Mateen, Shashank Kumar, Soma Capital, VentureSouq, Y Combinator. Funding amount (USD) so far is 2100000.0.",-1.5615341978266952
79,Y Combinator,BlaBla,"Our funding stage is Seed. BlaBla is a language learning app that makes learning a language engaging, fun, and mobile. Located in Singapore, Central Region, Singapore, Asia. Involved in the following industries: Apps, E-Learning, Education, Video, Video Editing Our current investors include Amino Capital, Root and Shoot Ventures, Starling Ventures, Wayra, Y Combinator. Funding amount (USD) so far is 1500000.0.",-0.1394222616311234
81,Y Combinator,Webflow,"Our funding stage is Series B. Webflow is a visual web design platform, CMS, and hosting provider for building production websites and prototypes. Located in San Francisco, California, United States, North America. Involved in the following industries: CMS, Web Design, Web Hosting Our current investors include Accel, CapitalG, Draper Associates, FundersClub, Khosla Ventures, Rainfall Ventures, Silversmith Capital Partners, Y Combinator. Funding amount (USD) so far is 140000000.0.",0.6970358640127169
82,Y Combinator,Modern Treasury,"Our funding stage is Series B. Modern Treasury offers a payment operations platform used to simplify and modernize business payments. Located in San Francisco, California, United States, North America. Involved in the following industries: Banking, Finance, FinTech, Payments Our current investors include Altimeter Capital, Benchmark, Y Combinator. Funding amount (USD) so far is 38000000.0.",-0.022715030320709265
83,Y Combinator,Taloflow,"Our funding stage is Venture - Series Unknown. Find the best cloud and dev tools for your use case Located in Santa Monica, California, United States, North America. Involved in the following industries: Artificial Intelligence, Cloud Infrastructure, Cloud Management, Computer, Internet, Productivity Tools, Software Our current investors include David Tedman, John Brown, Lance Tracey, Scott Belsky, Y Combinator. Funding amount (USD) so far is 1489380.0.",-0.0831833900885921
84,Y Combinator,Atom Bioworks,"Our funding stage is Seed. Atom Bioworks is a developer of a pattern-recognition enabled sensing and therapeutics platform designed to help in medical. Located in Cary, North Carolina, United States, North America. Involved in the following industries: Biotechnology, Health Care, Medical, Therapeutics Our current investors include Y Combinator. Funding amount (USD) so far is 125000.0.",-0.5819299992759517
86,Y Combinator,Lowkey,"Our funding stage is Seed. The home for watching and creating short gaming videos Located in San Francisco, California, United States, North America. Involved in the following industries: Casual Games, eSports, Gaming, Mobile, Video Games Our current investors include Jeff Lo, Justin Mateen, Sixers Innovation Lab, Soma Capital, William Hockey, Y Combinator. Funding amount (USD) so far is 1600000.0.",-0.6731652421783327
87,Y Combinator,LiveFlow,"Our funding stage is Pre-Seed. LiveFlow helps companies pipe all the financial data into a single place. Located in London, England, United Kingdom, Europe. Involved in the following industries: Software Our current investors include Seedcamp, Y Combinator. Funding amount (USD) so far is 450000.0.",-0.06238925522390442
88,Y Combinator,Mono (YC W21),"Our funding stage is Seed. Enabling access to financial accounts in Africa Located in Lagos, Lagos, Nigeria, Africa. Involved in the following industries: Big Data Our current investors include Y Combinator. Funding amount (USD) so far is 125000.0.",-0.4324210039655706
89,Y Combinator,Moxion Power Co.,"Our funding stage is Seed. Next Generation Mobile Power Located in Richmond, California, United States, North America. Involved in the following industries: Clean Energy, CleanTech, Electrical Distribution, Energy Storage, Renewable Energy Our current investors include Y Combinator. Funding amount (USD) so far is 125000.0.",0.5984862597883036
91,Y Combinator,Alinea,"Our funding stage is Pre-Seed. Investing Simplified. Located in New York, New York, United States, North America. Involved in the following industries: Communities, Finance, Financial Services, FinTech Our current investors include Diaspora Ventures, Y Combinator. Funding amount (USD) so far is 240000.0.",-2.4448762638529904
92,Y Combinator,Oxygen,"Our funding stage is Series A. Oxygen is a neobank that develop tools for consumers and small businesses through financial platform designed for the 21st century economy. Located in San Francisco, California, United States, North America. Involved in the following industries: Banking, Financial Services, FinTech Our current investors include 1984 Ventures, Alumni Ventures Group, Ankur Nagpal, Asahi Media Lab Ventures, Citius, EFG Hermes, Frank Strauss, Inventures, Kenji Niwa, Larry Fitzgerald, Leonis Investissement, Peter Treadway, Rucker Park Capital, Runa Capital, VU Venture Partners, William Hockey, Y Combinator. Funding amount (USD) so far is 17000000.0.",-0.6397480306186384
94,Y Combinator,Whatnot,"Our funding stage is Seed. Whatnot is a live stream platform and marketplace that enables collectors and enthusiasts to connect, buy, and sell verified products. Located in Marina Del Rey, California, United States, North America. Involved in the following industries: Collectibles, E-Commerce, Marketplace, Trading Platform Our current investors include Liquid 2 Ventures, Operator Partners, Scribble Ventures, TwentyTwo VC, Wonder Ventures, Y Combinator. Funding amount (USD) so far is 4000000.0.",-1.6968359044121888
95,Y Combinator,Supabase,"Our funding stage is Seed. Supabase is a developer of developer tools' suite intended to handle repetitive workflow. Located in Singapore, Central Region, Singapore, Asia. Involved in the following industries: Database, Developer Tools, Information Services, Information Technology, Software Our current investors include Augusto Marietti, Coatue, Mozilla, Y Combinator. Funding amount (USD) so far is 6000000.0.",-0.8170366974624058
96,Y Combinator,ontop,"Our funding stage is Pre-Seed. Taxes, Onboarding and Payroll manager for international teams Located in Bogotá, Distrito Especial, Colombia, South America. Involved in the following industries: Human Resources, SaaS Our current investors include Clocktower Technology Ventures, H20 Capital, Soma Capital, Y Combinator. Funding amount (USD) so far is 1200000.0.",-0.10961666350808659
97,Y Combinator,Pair Team,"Our funding stage is Seed. Pair Team is an end-to-end operations platform that automates clinical operations and provides high-touch patient support. Located in San Francisco, California, United States, North America. Involved in the following industries: Health Care, Hospital, Medical Our current investors include Craft Ventures, Kleiner Perkins, Y Combinator. Funding amount (USD) so far is 2700000.0.",-0.21665119702899246
98,Y Combinator,Salt Security,"Our funding stage is Series B. Salt Security provides an API protection platform designed to prevent attacks by leveraging machine learning and AI. Located in Palo Alto, California, United States, North America. Involved in the following industries: Cloud Security, Cyber Security, Developer APIs, Machine Learning, Network Security, Security Our current investors include S Capital VC, Sequoia Capital, Tenaya Capital, Y Combinator. Funding amount (USD) so far is 30000000.0.",-1.4287435169192566
100,Y Combinator,Friz,"Our funding stage is Seed. Friz develops credit cards and credit lines for the brave and relentless freelancers of Southeast Asia. Located in Singapore, Central Region, Singapore, Asia. Involved in the following industries: Banking, Credit Cards, Finance Our current investors include 500 Durians, 500 Startups, Iterative, Y Combinator. Funding amount (USD) so far is unknown.",1.421270778728608
101,Y Combinator,Kenota Health,"Our funding stage is Series A. Kenota Health develops next-generation diagnostic tools intended to be used for allergy testing in humans. Located in Kitchener, Ontario, Canada, North America. Involved in the following industries: Biotechnology, Health Care, Health Diagnostics, Medical Our current investors include 1517 Fund, BDC Capital, BoxOne Ventures, Collin Terpstra, Draper Associates, Fifty Years, OS Fund, Y Combinator. Funding amount (USD) so far is 9000000.0.",1.077792036278132
